IP,DATE,METHOD,PAGE,PROTOCOL,STATUS
192.168.1.122,[10/Sep/2023:14:52:10 -0400],GET,/images/logo.png,HTTP/1.1,200
192.168.1.123,[10/Sep/2023:14:53:20 -0400],GET,/about.html,HTTP/1.1,200
192.168.1.124,[10/Sep/2023:14:54:30 -0400],GET,/contact.html,HTTP/1.1,404
192.168.1.125,[10/Sep/2023:14:55:40 -0400],GET,/products/list,HTTP/1.1,200
192.168.1.126,[10/Sep/2023:14:56:50 -0400],POST,/submit.php,HTTP/1.1,200
192.168.1.127,[10/Sep/2023:14:57:55 -0400],GET,/blog/post123,HTTP/1.1,200
192.168.1.128,[10/Sep/2023:14:58:45 -0400],GET,/downloads/file.zip,HTTP/1.1,200
192.168.1.129,[10/Sep/2023:14:59:35 -0400],GET,/images/banner.jpg,HTTP/1.1,200
192.168.1.130,[10/Sep/2023:15:00:30 -0400],GET,/index.html,HTTP/1.1,200
192.168.1.131,[10/Sep/2023:15:01:20 -0400],POST,/login.php,HTTP/1.1,403
192.168.1.132,[10/Sep/2023:15:02:15 -0400],GET,/images/logo.png,HTTP/1.1,200
192.168.1.133,[10/Sep/2023:15:03:05 -0400],GET,/about.html,HTTP/1.1,200
192.168.1.134,[10/Sep/2023:15:04:10 -0400],GET,/contact.html,HTTP/1.1,404
192.168.1.135,[10/Sep/2023:15:05:25 -0400],GET,/products/list,HTTP/1.1,200
192.168.1.136,[10/Sep/2023:15:06:30 -0400],POST,/submit.php,HTTP/1.1,200
192.168.1.137,[10/Sep/2023:15:07:45 -0400],GET,/blog/post123,HTTP/1.1,200
192.168.1.138,[10/Sep/2023:15:08:55 -0400],GET,/downloads/file.zip,HTTP/1.1,200
192.168.1.139,[10/Sep/2023:15:09:40 -0400],GET,/images/banner.jpg,HTTP/1.1,200
192.168.1.140,[10/Sep/2023:15:10:15 -0400],GET,/index.html,HTTP/1.1,200
192.168.1.141,[10/Sep/2023:15:11:05 -0400],POST,/login.php,HTTP/1.1,403
192.168.1.142,[10/Sep/2023:15:12:20 -0400],GET,/images/logo.png,HTTP/1.1,200
192.168.1.143,[10/Sep/2023:15:13:30 -0400],GET,/about.html,HTTP/1.1,200
192.168.1.144,[10/Sep/2023:15:14:40 -0400],GET,/contact.html,HTTP/1.1,404
192.168.1.145,[10/Sep/2023:15:15:55 -0400],GET,/products/list,HTTP/1.1,200
192.168.1.146,[10/Sep/2023:15:16:45 -0400],POST,/submit.php,HTTP/1.1,200
192.168.1.147,[10/Sep/2023:15:17:35 -0400],GET,/blog/post123,HTTP/1.1,200
192.168.1.148,[10/Sep/2023:15:18:25 -0400],GET,/downloads/file.zip,HTTP/1.1,200
192.168.1.149,[10/Sep/2023:15:19:15 -0400],GET,/images/banner.jpg,HTTP/1.1,200
192.168.1.150,[10/Sep/2023:15:20:05 -0400],GET,/index.html,HTTP/1.1,200
192.168.1.151,[10/Sep/2023:15:21:00 -0400],POST,/login.php,HTTP/1.1,403
192.168.1.152,[10/Sep/2023:15:22:10 -0400],GET,/images/logo.png,HTTP/1.1,200
192.168.1.153,[10/Sep/2023:15:23:20 -0400],GET,/about.html,HTTP/1.1,200
192.168.1.154,[10/Sep/2023:15:24:30 -0400],GET,/contact.html,HTTP/1.1,404
192.168.1.155,[10/Sep/2023:15:25:40 -0400],GET,/products/list,HTTP/1.1,200
192.168.1.156,[10/Sep/2023:15:26:50 -0400],POST,/submit.php,HTTP/1.1,200
192.168.1.157,[10/Sep/2023:15:27:55 -0400],GET,/blog/post123,HTTP/1.1,200
192.168.1.158,[10/Sep/2023:15:28:45 -0400],GET,/downloads/file.zip,HTTP/1.1,200
192.168.1.159,[10/Sep/2023:15:29:35 -0400],GET,/images/banner.jpg,HTTP/1.1,200
192.168.1.160,[10/Sep/2023:15:30:30 -0400],GET,/index.html,HTTP/1.1,200
192.168.1.161,[10/Sep/2023:15:31:20 -0400],POST,/login.php,HTTP/1.1,403
192.168.1.162,[10/Sep/2023:15:32:15 -0400],GET,/images/logo.png,HTTP/1.1,200
192.168.1.163,[10/Sep/2023:15:33:05 -0400],GET,/about.html,HTTP/1.1,200
192.168.1.164,[10/Sep/2023:15:34:10 -0400],GET,/contact.html,HTTP/1.1,404
192.168.1.165,[10/Sep/2023:15:35:25 -0400],GET,/products/list,HTTP/1.1,200
192.168.1.166,[10/Sep/2023:15:36:30 -0400],POST,/submit.php,HTTP/1.1,200
192.168.1.167,[10/Sep/2023:15:37:45 -0400],GET,/blog/post123,HTTP/1.1,200
192.168.1.168,[10/Sep/2023:15:38:55 -0400],GET,/downloads/file.zip,HTTP/1.1,200
192.168.1.169,[10/Sep/2023:15:39:40 -0400],GET,/images/banner.jpg,HTTP/1.1,200
192.168.1.170,[10/Sep/2023:15:40:15 -0400],GET,/index.html,HTTP/1.1,200
192.168.1.171,[10/Sep/2023:15:41:05 -0400],POST,/login.php,HTTP/1.1,403
192.168.1.172,[10/Sep/2023:15:42:20 -0400],GET,/images/logo.png,HTTP/1.1,200
192.168.1.173,[10/Sep/2023:15:43:30 -0400],GET,/about.html,HTTP/1.1,200
192.168.1.174,[10/Sep/2023:15:44:40 -0400],GET,/contact.html,HTTP/1.1,404
192.168.1.175,[10/Sep/2023:15:45:55 -0400],GET,/products/list,HTTP/1.1,200
192.168.1.176,[10/Sep/2023:15:46:45 -0400],POST,/submit.php,HTTP/1.1,200
192.168.1.177,[10/Sep/2023:15:47:35 -0400],GET,/blog/post123,HTTP/1.1,200
192.168.1.178,[10/Sep/2023:15:48:25 -0400],GET,/downloads/file.zip,HTTP/1.1,200
192.168.1.179,[10/Sep/2023:15:49:15 -0400],GET,/images/banner.jpg,HTTP/1.1,200
